from	from_type	type	to	to_type
Ueyama1998		relation	configurationality	
OHE38-Varieties-of-English-55a		relation	VP ellipsis	
OHE20-Sluicing-and-Its-Subtypes-4a		relation	island	
OHE10-ellipsis-in-inquisitive-semantics-13a		relation	relative clause	
Yoshimura1999		relation	negative polarity item (NPI)	
HornsteinNunes2002		relation	parasitic gap	
Sato2022		relation	local context update	
Sugisaki2012b		relation	negation	
Morzycki2015		relation	modification	
BeckOdaSugisaki2004		relation	yori comparative	
OHE38-Varieties-of-English-46a		relation	VP ellipsis	
Hayashishita2017		relation	presupposition	
OHE38-Varieties-of-English-27a		relation	VP ellipsis	
Chaves2014		relation	Right-Node Raising (RNR)	
Davis2011		relation	sentence-final particle	
OHE20-Sluicing-and-Its-Subtypes-22a		relation	sluicing	
Sawada2021		relation	negative polarity item (NPI)	
OHE20-Sluicing-and-Its-Subtypes-33		relation	multiple sluicing	
KishimotoMoriyama2022		relation	focus particle	
OHE16-Movement-and-Islands-4a-ii		relation	German (language)	
Griffiths2014		relation	contrastive fragment  answers	
OHE20-Sluicing-and-Its-Subtypes-25b		relation	sluicing	
AsherMcCready2007		relation	modal subordination	
Gunji2000		relation	complex predicate	
Sawada2014b		relation	polarity sensitivity	
Dowty1994		relation	negative polarity item (NPI)	
possessives_in_Spec_DP		relation	determiner	
Abels2016b		relation	sluicing	
Abusch2002		relation	soft trigger (presupposition)	
left_periphery_simplified		relation	left periphery	
kakera (NPI)		relation	Japanese	
Okano2023		relation	Causal Premise Semantics	
TLS177		relation	non-coordinate RNR	
accusative_absolute_reintroduced		relation	participle	
OHE38-Varieties-of-English-34a		relation	VP ellipsis	
Nakao2010		relation	Japanese	
TLS570		relation	extraction out of ellipsis	
YuanSaito2020		relation	Matrix shuo	
genitive_to_a_clitic		relation	clitic	
OHE16-Movement-and-Islands-35		relation	Complex NP Constraint (CNPC)	
IdoKubota2025		relation	low evaluation	
Saito2010		relation	reports of direct discourse	
verbs_move_different_heads		relation	verb movement	
IdoKubota2025		relation	nanka	
TLS169		relation	summative predicate	
YatabeTam2019		relation	summative predicate	
Lasersohn2009		relation	predicate of personal taste	
Ishihara2021		relation	report complementizer	
OHE10-ellipsis-in-inquisitive-semantics-12b		relation	sluicing	
HankamerSag1976		relation	VP ellipsis	
OHE20-Sluicing-and-Its-Subtypes-45a		relation	multiple sluicing	
Kuroda1986a-92		relation	eru sentence	
Sawada2021		relation	evaluative CI	
DemonteFernández-Soriano2014		relation	discourse	
Dowty1996a		relation	obliqueness hierarchy	
OHE16-Movement-and-Islands-42b		relation	sluicing	
OHE20-Sluicing-and-Its-Subtypes-20b-ii		relation	case marking	
Takahashi2016-48bii-sloppy		relation	argument ellipsis	
SchefflerMalamud2023		relation	speech act	
TLS321		relation	pseudogapping	
TLS274		relation	pseudogapping	
Watanabe2013		relation	negative polarity item (NPI)	
YanaMineshimaBekki2019		relation	Dependent Type Semantics	
Rothstein1983		relation	depictive	
TLS44		relation	Gapping	
Yatabe2001		relation	nonconstituent coordination (NCC)	
OHE22-Nominal-Ellipsis-79		relation	nominal ellipsis	
Saito2012b		relation	Focus	
IdoKubota2025		relation	epistemic agent	
Aikawa1999		relation	Aikawa's (1993) hypothesis	
number mismatch in nominal ellipsis		relation	nominal ellipsis	
OHE22-Nominal-Ellipsis-56a		relation	lexical mismatch in nominal ellipsis	
von Fintel1999		relation	strong NPI	
OHE20-Sluicing-and-Its-Subtypes-11b		relation	Left-Branch Condition	
Nishigauchi2020		relation	connectivity effects	
OHE22-Nominal-Ellipsis-19e		relation	one-anaphora	
contrastive wa		relation	focus particle	
OHE10-ellipsis-in-inquisitive-semantics-6b		relation	inquisitive semantics	
modal particle		relation	outlook marker	
TLS555		relation	that-trace effect	
ManningSagIida2000		relation	complex predicate	
Goldberg2013		relation	island constraint	
OHE20-Sluicing-and-Its-Subtypes-20a-ii		relation	Japanese	
Saito2001		relation	resultative	
Takita2010		relation	scrambling	
TLS570		relation	VP ellipsis	
YagiEA2022		relation	neg raising	
downward entailment		relation	negative polarity item (NPI)	
OHE20-Sluicing-and-Its-Subtypes-56a-i		relation	anaphora	
Kuroda1986a-106		relation	focus	
OHE10-ellipsis-in-inquisitive-semantics-12a		relation	sluicing	
Sakamoto2022		relation	neg raising	
Sawada2022		relation	expressive	
OHE20-Sluicing-and-Its-Subtypes-52b-i		relation	cleft	
negative evaluation		relation	polarity sensitivity	
NishiyamaNishikawa2018		relation	Japanese	
Okano2023		relation	evidentiality	
TLS373		relation	Left Branch Constraint	
Hybrid Type-Logical Categorial Grammar (H-TLCG)		relation	NL-lambda	
OHE20-Sluicing-and-Its-Subtypes-57		relation	cleft	
Sign-Based Construction Grammar (SBCG)		relation	Construction Grammar	
contrastive fragment  answers		relation	island sensitivity	
the_a(n)_developed		relation	determiner	
accusative_absolute_reintroduced		relation	absolute construction	
Saito2012b		relation	complementizer	
Kataoka2006		relation	syntactic approach to NPI licensing	
TLS540		relation	island violation	
KubotaLevine2020		relation	long-distance dependency	
OHE10-ellipsis-in-inquisitive-semantics-38b		relation	sprouting(phenomenon)	
Crnič2011		relation	even (focus particle)	
Fukaya2012		relation	sluicing	
DemonteFernández-Soriano2014		relation	semantics	
Repp2013		relation	discourse management	
Sawada2023		relation	kakera	
Krapova2001		relation	dependent tense	
Shieber1985		relation	generative power	
OHE38-Varieties-of-English-63a		relation	VP ellipsis	
OHE22-Nominal-Ellipsis-15a		relation	one-anaphora	
OHE22-Nominal-Ellipsis-59c		relation	nominal ellipsis	
Lassiter2011		relation	modality	
IdoKubota2021		relation	dake/sika	
OHE20-Sluicing-and-Its-Subtypes-58b-ii		relation	German	
Hara2007		relation	topic	
ChavesDery2019		relation	subject island	
OHE16-Movement-and-Islands-24a		relation	Adjunct Condition	
FujiiEA2023		relation	ga/no conversion	
BarkerShan2015		relation	weak crossover (WCO)	
Lexical Resource Semantics (LRS)		relation	underspecification semantics	
KubotaIdo2024		relation	presupposition projection	
TLS510		relation	that-trace effect	
Chierchia2004		relation	polarity sensitivity	
Kuno 1982-2b		relation	focus	
OHE22-Nominal-Ellipsis-10b		relation	nominal ellipsis	
Kuno 1982-1a		relation	focus	
OHE16-Movement-and-Islands-39c		relation	island evasion	
Sawada2024		relation	conventional implicature	
Sato2021		relation	polarity reversed ellipsis	
Kuno 1982-sec-1-3		relation	ellipsis	
OHE22-Nominal-Ellipsis-83c		relation	nominal ellipsis	
ought_used_present		relation	auxiliary (verb)	
OHE20-Sluicing-and-Its-Subtypes-20b-i		relation	sluicing	
Ura1999		relation	Dative subject	
ability modal		relation	modality	
TLS422		relation	non-constituent ellipsis	
Kuno 1982-16		relation	ellipsis	
Whitman2009		relation	Right-Node Wrapping	
Etxepare2010		relation	root complementizer	
VO_order_dominant		relation	VO (word order)	
KubotaLevine2015		relation	Right-Node Raising (RNR)	
Chomsky2015a		relation	that-trace effect	
Egg2013		relation	discourse management	
Kobayashi2024		relation	coordination	
Bentzen2013		relation	ellipsis	
Kayne2015		relation	one-anaphora	
TrotzkeMayol2021		relation	tambe ('also')	
TLS537		relation	Element Constraint	
OHE20-Sluicing-and-Its-Subtypes-59a-i		relation	sluicing	
Kuno 1982-1b		relation	yes/no-questions	
OHE38-Varieties-of-English-14		relation	VP ellipsis	
AkuzawaKubota2025		relation	Japanese	
Abels2014		relation	island repair	
OHE22-Nominal-Ellipsis-85a		relation	Japanese	
Heim1992		relation	propositional attitude	
Chierchia2013		relation	semantic approach to NPI licensing	
OHE10-ellipsis-in-inquisitive-semantics-21		relation	sluicing	
Nishigauchi2016		relation	exhaustive listing	
neg raising		relation	negative concord	
Nakanishi2010		relation	one + mo `even'	
OHE20-Sluicing-and-Its-Subtypes-n8ii		relation	sluicing	
nanka		relation	outlook marker	
verbal_Agreement_simplified		relation	agreement	
finite control		relation	clausal complementation	
Abrusan2022		relation	presupposition projection	
2011_Obata+Epstein-1c		relation	Improper Movement	
SzabolcsiHaddican2004		relation	distributive reading	
Abrusan2014		relation	presuppositional island	
Krifka1995		relation	negative polarity item (NPI)	
Kobayashi2024		relation	sluicing	
Saito2001		relation	phasehood	
TLS310		relation	syntactic mismatch	
OHE16-Movement-and-Islands-18		relation	contrast sluicing	
Nishigauchi1998		relation	Japanese	
OHE16-Movement-and-Islands-43a-i		relation	German (language)	
Plessis1977		relation	extraction pathway marking	
Deo2022		relation	downtoner (discourse marker)	
KubotaIdo2024		relation	evaluative CI	
OHE20-Sluicing-and-Its-Subtypes-20b-i		relation	case marking	
Sawada2022		relation	presupposition projection	
Tomioka2009		relation	contrastive topic	
DemonteFernández-Soriano2014		relation	illocutionary force	
Mueller2010		relation	island constraint	
Chaves2005		relation	Gapping	
Bernardi2002		relation	negative polarity item (NPI)	
barrier		relation	Subjacency	
Depiante2000		relation	Italian	
island evasion approach		relation	island evasion	
KubotaLevine2022		relation	discontinuous pseudogapping	
Dotlacil2010		relation	symmetrical predicate	
IdoKubota2025		relation	discourse marker	
KubotaLevine2020		relation	extraction out of ellipsis	
ZoernerAgbayani2006		relation	pseudogapping	
KubotaLevine2020		relation	internal reading	
Lee2021		relation	summative predicate	
Sawada2021		relation	presupposition projection	
Davis2020		relation	extraction pathway marking	
Panagiotidis2003b		relation	one-anaphora	
Ishihara2021		relation	root clauses	
von Fintel1999		relation	entailment-based NPI licensing	
Generalized Phrase Structure Grammar (GPSG)		relation	Head-Driven Phrase Structure Grammar (HPSG)	
TLS342		relation	extraction pathway marking	
Kishimoto2008b		relation	negative polarity item (NPI)	
OHE22-Nominal-Ellipsis-26a		relation	extraction	
partial syntactic sensitivity		relation	connectivity effects	
TLS39		relation	Gapping	
Fukaya2007		relation	stripping	
Kuno 1982-sec1-15		relation	ellipsis	
Saito2012b		relation	right periphery	
V-to-Agr_lost		relation	V-to-T/I movement	
Oshima2023		relation	cleft	
Morin2008		relation	Gascon	
chinjutsu adverb		relation	Japanese	
YatabeTam2019		relation	Right-Node Wrapping	
Abrusan2016		relation	presupposition projection	
Levine2013		relation	scope	
Kuno 1982-20b		relation	topic	
SchefflerMalamud2023		relation	tag question	
Kizu1997c		relation	sluicing	
OHE22-Nominal-Ellipsis-52a		relation	lexical mismatch in nominal ellipsis	
Deo2022		relation	=to	
Mizutani2023		relation	made-wa	
HofmeisterSag2010		relation	long-distance dependency	
Biezma2013		relation	at least	
Saito2012b		relation	cartography	
Takita2018		relation	Antecedent Contained Deletion (ACD)	
OHE38-Varieties-of-English-54a		relation	VP ellipsis	
Sugisaki2012b		relation	LF Wh-movement	
TLS549		relation	discourse relation	
TLS582		relation	Right-Node Wrapping	
rokuna (NPI)		relation	Japanese	
OHE22-Nominal-Ellipsis-52b		relation	nominal ellipsis	
Kuroda1986a-36		relation	focus	
Merchant2008b		relation	contrast sluicing	
GiannakidouYoon2011		relation	negative polarity item (NPI)	
Levine2013		relation	modal auxiliary	
ChierchiaFoxSpector2012		relation	emphatic polarity item	
syntactic account of islands		relation	island sensitivity	
Saito2015		relation	right periphery	
gender mismatch in nominal ellipsis		relation	nominal ellipsis	
Ihara2024		relation	contrastive topic	
TLS369		relation	parasitic gap	
Kuroda1986a-77		relation	eru sentence	
Sugisaki2016b		relation	Syntactic Identity Condition on Ellipsis	
Coppock2001		relation	Gapping	
OHE38-Varieties-of-English-29b		relation	VP ellipsis	
Nishigauchi2020		relation	concealed question	
RobertsSimons2024		relation	change of state	
OHE20-Sluicing-and-Its-Subtypes-15c-i		relation	Left-Branch Condition	
Hayashishita2007		relation	comparative	
KubotaIdo2024		relation	epistemic stance	
complementizers_block_verb_movement		relation	complementizer	
Sato2022		relation	VP ellipsis	
Yuan2026		relation	negative evaluation	
Kuno 1982-sec1-25a		relation	focus	
schon (discourse marker)		relation	German	
Sawada2017		relation	projective meaning	
Kehler2002		relation	discourse coherence	
Jacobson2008		relation	VP ellipsis	
Steedman1996		relation	parasitic gap	
OHE22-Nominal-Ellipsis-80		relation	nominal ellipsis	
Davis2009		relation	Japanese	
Kathol2000		relation	argument composition	
OHE20-Sluicing-and-Its-Subtypes-50b		relation	P-stranding	
Depiante2000		relation	Null Complement Anaphora (NCA)	
psychological predicate		relation	predicate of personal taste	
AsherMcCready2007		relation	counterfactual	
OHE10-ellipsis-in-inquisitive-semantics-27		relation	sluicing	
OHE22-Nominal-Ellipsis-68-ii		relation	nominal ellipsis	
Aloni2007		relation	free choice	
outlook marker		relation	chinjutsu adverb	
Kuroda1986a-57d		relation	tough sentence (in Japanese)	
BarrosEA2014b		relation	contrastive fragment  answers	
BakerBrame1972		relation	sluicing	
WardKehler2005		relation	do so anaphora	
Ido2023		relation	nanka	
OHE38-Varieties-of-English-59d		relation	VP ellipsis	
Kudo1977		relation	chinjutsu adverb	
TLS576		relation	Right-Node Raising (RNR)	
Steedman1987		relation	Complex NP Constraint (CNPC)	
kedo (as SFP)		relation	Japanese	
OHE20-Sluicing-and-Its-Subtypes-20b-ii		relation	Japanese	
TLS170		relation	respective/symmetrical/summative reading interaciton	
OHE22-Nominal-Ellipsis-49		relation	nominal ellipsis	
Abe2015		relation	Japanese	
Schlangen2003		relation	sluicing	
OHE38-Varieties-of-English-61b		relation	VP ellipsis	
AgbayaniZoerner2004		relation	pseudogapping	
Kuno 1982-22b		relation	focus	
Hayashishita2017		relation	izyoo/gurai	
von Fintel1999		relation	semantic approach to NPI licensing	
OHE16-Movement-and-Islands-36a		relation	contrast sluicing	
KubotaLevine2020		relation	syntactic island	
Gutzmann2015		relation	expressive	
		relation	Adjunct ellipsis	
TLS499		relation	across-the-board dependencies (ATB)	
Landau2010		relation	finite control	
evaluative CI		relation	evaluative meaning	
Sugisaki2008		relation	Basic Word Order	
Tomioka2014		relation	pro analysis of Argument Ellipsis	
SaitoH2023		relation	cartography	
		relation	argument ellipsis	
Oshima2016		relation	perspectival verb	
OHE20-Sluicing-and-Its-Subtypes-22b		relation	sluicing	
AkimotoTatsumi2022LSJ165		relation	evidential modal	
CitkoGračanin-Yuksek2021		relation	across-the-board movement (ATB movement)	
IdoKubota2023		relation	projective meaning	
alternative semantics		relation	focus particle	
		relation	ellipsis	
TLS372		relation	attributive comparative deletion	
Kishimoto2007		relation	negative polarity item (NPI)	
TLS546		relation	discourse relation	
Szabolcsi1992		relation	VP ellipsis	
OHE22-Nominal-Ellipsis-81a		relation	Japanese	
Lechner2001		relation	Right-Node Raising (RNR)	
V-to-T_lost_15		relation	V-to-T/I movement	
OHE22-Nominal-Ellipsis-36a		relation	nominal ellipsis	
positions_roles_personal_pronouns_fixed		relation	genitive	
OHE20-Sluicing-and-Its-Subtypes-19a-ii		relation	case marking	
Sato2019		relation	Japanese	
Mukai2003		relation	P-stranding nonconstituent coordination (NCC)	
OHE22-Nominal-Ellipsis-6b-i		relation	people deletion	
OHE20-Sluicing-and-Its-Subtypes-19b-i		relation	Japanese	
TLS572		relation	Left Branch Constraint	
Morrill2017		relation	syntactic island	
Lasnik2014		relation	Serbo-Croatian	
IdoKubota2025		relation	kurai	
OHE20-Sluicing-and-Its-Subtypes-7		relation	Japanese	
OHE16-Movement-and-Islands-29		relation	island sensitivity	
TLS552		relation	factive island	
Sugisaki2008		relation	Language Development	
2013_Chomsky-4a		relation	Binding Condition	
Takita2010		relation	Exceptional case-marking (ECM)	
Sugisaki2012		relation	naze	
OHE20-Sluicing-and-Its-Subtypes-42a-i		relation	multiple sluicing	
ArnoldGodard2021		relation	pied-piping	
		relation	Japanese	
Morin2008		relation	enunciative particles	
Saito2007		relation	null argument	
OHE20-Sluicing-and-Its-Subtypes-17		relation	Japanese	
OHE16-Movement-and-Islands-35		relation	clausemateness condition	
YoshidaEA2012		relation	nominal ellipsis	
Ross1967a		relation	Subject Condition effect	
HiraiwaIshihara2012		relation	sluicing	
