from	from_type	type	to	to_type
Empty Noun		relation	OHE22-Nominal-Ellipsis-41a	
focus movement		relation	focus movement	
isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-28	
pro analysis of Argument Ellipsis		relation	Takahashi2008MS-9bii	
TLS426		relation	P-stranding generalization	
		relation		
		relation		
Pecking Order of Deletion Principle		relation	Kuno 1982-16	
Combinatory Categorial Grammar (CCG)		relation	Combinatory Categorial Grammar (CCG)	
Agree		relation	Merge-only hypothesis	
Symmetry Principle		relation	Intrinsic Uniformity	
Generalized Predication		relation	Subj-head	
Argument Ellipsis Possible in Japanese		relation	Sugisaki2016-31bii-sloppy	
2011_Obata+Epstein-1c		relation	Improper Movement	
		relation	Kural2005	
Empathy Constraint on Zibun		relation	Empathy Constraint on Zibun	
Pecking Order of Deletion Principle		relation	Kuno 1982-n3	
wh_complementizers.		relation	wh-words_introduce_complements	
Surface Object Constraint		relation	Kuno 1982-10b	
cleft analysis of sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-36	
OHE22-Nominal-Ellipsis-56a		relation	OHE22-Nominal-Ellipsis-55a	
right deslocation		relation	right deslocation	
Merge-only hypothesis		relation	structure dependence	
OHE16-Movement-and-Islands-5b-ii		relation	OHE16-Movement-and-Islands-5b-i	
Experiencer PPs as subjects		relation	Experiencer PPs as subjects	
Double-o constraint		relation	DoC2	
Empty Noun		relation	OHE22-Nominal-Ellipsis-14a	
Landau2023-30		relation	pragmatic enrichment for null adjuncts	
		relation	syntaxはどこまで意味計算を決定するか？	
		relation		
Argument Ellipsis Possible in Japanese		relation	Takahashi2008MS-11	
anomalous scope		relation	Coppock2001	
no HIT		relation	NF3-68	
pronouns_unified_D		relation	pronouns_unable_modified	
Agree		relation	NoAgree	
No Phi in Japanese		relation	multiple subject in Japanese	
Japanese tits have core-Merge		relation	Only homo sapiens has Merge	
OHE10-ellipsis-in-inquisitive-semantics-28		relation	OHE10-ellipsis-in-inquisitive-semantics-11a	
Empty Noun		relation	OHE22-Nominal-Ellipsis-19e	
No special feature involved in focus-movement		relation	No Foc	
Kuroda1983-26		relation	causative	
Markedness is not part of phonology		relation	Markedness Constraints	
		relation		
		relation		
Empty Noun		relation	OHE22-Nominal-Ellipsis-40b	
specifier-head agreement approach to ellipsis		relation	OHE22-Nominal-Ellipsis-60a	
Direct Discourse Analysis of zibun		relation	Direct Discourse Analysis of zibun	
2011_Obata+Epstein-5a		relation	Ban on Improper Movement	
OHE10-ellipsis-in-inquisitive-semantics-19		relation	OHE10-ellipsis-in-inquisitive-semantics-16c	
to_changed_to_T		relation	ECM_subjects_move_Spec_TP	
pragmatic account of islands		relation	TLS540	
Kuroda1986a-97		relation	Subjectivization	
		relation	Gallistel King Conjecture	
possessives_reanalyzed_Ds		relation	prenominal_possessives_restricted	
Feature-Equilibrium		relation	MEC	
		relation		
Takano2008MS-fn25i		relation	Takano2008MS-fn25i_J	
coordination scope generalization		relation	TLS99	
		relation		
wrapping		relation	wrapping	
case matching		relation	case matching	
connectivity effects		relation	connectivity effects	
		relation		
Kuroda1978-59		relation	tokoro phrase as modifier	
evaluation measure		relation	evaluation measure	
generative grammar		relation	Universal Grammar (UG)	
predicative copular clause analysis of sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-11b	
		relation		
CED_simplified		relation	NJB-119-119a	
linear order irrelevant		relation	NF1-45a	
in_+_gerund_extended		relation	gerunds_after_in	
Kuroda1986a-85		relation	tough sentence (in Japanese)	
NL-lambda		relation	NL-lambda	
symmetry of Merge		relation	no pair-Merge (no order-assignment)	
Kuroda1986a-82		relation	multiple nominative sentence	
pro Analysis of Argument Ellipsis		relation	Takahashi2016-50a	
Kuroda1986a-4		relation	Linear Case Marking	
verb-stranding VP-ellipsis analysis of Argument Ellipsis		relation	VP ellipsis	
Empty Noun		relation	OHE22-Nominal-Ellipsis-n18iib	
Kuroda1978-63		relation	Subjectivization	
Kuroda1986a-86		relation	multiple nominative sentence	
		relation		
double o marking		relation	double o marking	
Phrasal Sister Condition		relation	NJB-119-119b	
Oshima's 2004 Revised Subjecthood Condition on Zibun		relation	Takano2008MS-51a	
OHE10-ellipsis-in-inquisitive-semantics-19		relation	OHE10-ellipsis-in-inquisitive-semantics-17c	
null argument		relation	null argument	
Ueda's (1986) hypothesis		relation	Ueda's (1986) hypothesis	
bounding property		relation	bounding property	
The Minimal Sentential Answer Strategy		relation	Kuno 1982-21a	
Empty Noun		relation	OHE22-Nominal-Ellipsis-15b	
		relation		
Kuroda1983-4		relation	free word order	
OHE10-ellipsis-in-inquisitive-semantics-27		relation	OHE10-ellipsis-in-inquisitive-semantics-28	
Kuroda1978-71		relation	Subjectivization	
Sentential Subject Constraint (SSC)		relation	TLS501	
wh-movement		relation	I wondered how they got into the building	
Minimalist Program (MP)		relation	Occam's razor	
subject-orientation of zibun		relation	Takano2008MS-51a	
OHE16-Movement-and-Islands-19a-ii		relation	OHE16-Movement-and-Islands-19a-i	
logophoric zibun		relation	Hirose2018-24	
coordination scope generalization		relation	TLS102	
		relation		
Hirose2018-23		relation	subject-orientation of zibun	
symmetry of Merge		relation	interarboreal movement banned by minimal computation	
pro Analysis of Argument Ellipsis		relation	Sugisaki2016-14bi-strict	
Active and Passive Discourse-Rule Violations		relation	Kuno 1982-sec1-18	
Iida's (1996) hypothesis		relation	Iida's (1996) hypothesis	
c-commanding requirement of zibun binding		relation	Takano2008MS-fn25i	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-29	
double case marking		relation	double case marking	
Pecking Order of Deletion Principle		relation	Kuno 1982-12	
left_periphery_formed		relation	CP_project	
